,0
1407,64
1408,60
1409,61
1410,67
1411,59
1412,61
1413,61
1414,113
1415,60
1416,62
1417,65
1418,57
1419,53
1420,59
1421,74
1422,61
1423,68
1424,64
1425,54
1426,62
1427,58
1428,57
1429,54
1430,59
1431,59
1432,62
1433,63
1434,61
1435,70
1436,61
1437,64
1438,116
1439,64
1440,109
1441,59
1442,59
1443,65
1444,58
1445,58
1446,63
1447,48
1448,56
1449,58
1450,57
1451,52
1452,63
1453,54
1454,61
1455,54
1456,59
1457,55
1458,55
1459,53
1460,49
1461,56
1462,68
1463,62
1464,68
1465,58
1466,57
1467,57
1468,58
1469,55
1470,58
1471,50
1472,51
1473,71
1474,57
1475,50
1476,54
1477,67
1478,55
1479,56
1480,64
1481,55
1482,53
1483,49
1484,54
1485,50
1486,54
1487,61
1488,57
1489,69
1490,68
1491,62
1492,56
1493,53
1494,54
1495,49
1496,52
1497,52
1498,53
1499,55
1500,53
1501,52
1502,71
1503,70
1504,110
1505,77
1506,67
1507,64
1508,54
1509,57
1510,70
1511,56
1512,78
1513,67
1514,70
1515,78
1516,89
1517,68
1518,71
1519,66
1520,65
1521,61
1522,51
1523,62
1524,62
1525,64
1526,52
1527,61
1528,55
1529,69
1530,72
1531,61
1532,69
1533,117
1534,68
1535,66
1536,76
1537,69
1538,121
1539,75
1540,72
1541,69
1542,69
1543,57
1544,92
1545,75
1546,58
1547,118
1548,66
1549,53
1550,52
1551,49
1552,47
1553,47
1554,46
1555,45
1556,43
1557,44
1558,46
1559,45
1560,45
1561,53
1562,46
1563,52
1564,42
1565,44
1566,44
1567,45
1568,66
1569,47
1570,45
1571,46
1572,49
1573,41
1574,42
1575,45
1576,49
1577,45
1578,45
1579,42
1580,47
1581,65
1582,57
1583,46
1584,46
1585,49
1586,47
1587,50
1588,48
1589,51
1590,50
1591,56
1592,51
1593,44
1594,44
1595,43
1596,54
1597,55
1598,48
1599,50
1600,48
1601,46
1602,47
1603,45
1604,51
1605,49
1606,51
1607,49
1608,49
1609,50
1610,59
1611,57
1612,54
1613,59
1614,48
1615,48
1616,47
1617,46
1618,52
1619,48
1620,58
1621,57
1622,63
1623,49
1624,51
1625,65
1626,56
1627,50
1628,49
1629,49
1630,57
1631,49
1632,53
1633,55
1634,50
1635,55
1636,50
1637,47
